username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
tosbin,23,4,11,3,27
disko404,3,1,30,0,2
98dmalcolm,7,1,25,10,98
sx,80,3,37,0,8
AnswerMeThis,3,2,28,0,1
ct1904,4,2,12,1,1
PsynOpticz,0,1,8,0,0
Freshunsigned,11,4,14,0,0
spartacus,18,2,96,17,129
Antoine1,0,1,16,1,0
DanceHallKitchen,119,6,35,0,1
AcidJacks,7,1,137,9,9
Rob,1,1,23,13,32
malfunctional,19,3,34,9,15
DJ_CHRIS_S,0,2,9,0,0
hannes,1,1,1,1,0
mikeymisi,16,1,52,13,10
cashback,10,1,12,7,65
mavee,15,11,16,0,0
daysarenumbers,41,2,35,0,0
stereolove,15,5,41,18,15
rastitkac,6,3,23,1,4
niskerone,0,1,16,0,0
menocar,2,0,6,1,9
TRASHMENAGERIE,0,0,41,0,0
bbcradio1,0,0,959,0,0
pusht4time,2,0,31,1,0
Studiobodhi,37,0,97,4,31
daclayton,0,0,2,0,0
madeleineostlie,0,0,2,1,5
ambientanimal,25,0,44,2,5
aliparr,1,0,2,0,3
rikola,2,0,3,0,3
noodlle,4,0,25,0,0
bandrew,0,0,10,0,0
beez,0,0,15,0,0
Elite,52,0,252,7,66
mimiquerecords,525,0,182,0,0
riley,17,0,51,0,6
Saddla,0,0,2,0,0
brekon,0,0,2,1,2
adrian502,0,0,9,0,0
sara_fach,9,0,34,5,16
kathryn,1,0,9,0,2
theobard,0,0,20,0,0
adqsaddaw,2,0,0,0,0
neilhiggs,0,0,2,0,0
tykarma,204,0,49,0,0
mixcloud123,0,0,2,0,0
alanthomson,0,0,11,0,0
webgravity,1,0,25,0,3
foodrambler,11,0,21,0,14
JarretMyer,0,0,10,0,5
nickmorss,4,0,18,4,61
nicoperez,0,0,44,0,1
mah_sccp,0,0,7,0,0
james,2,0,60,5,22
MichaelMurdoch,1,0,0,0,2
rmentertainement,1,0,0,1,0
psurkit,2,0,12,1,1
pocpoc,7,0,18,17,24
francesca,3,0,19,0,13
djdizchicago,0,0,16,0,0
gab,6,0,42,5,4
migounanou_net,8,0,14,17,66
franklindecosta,0,0,12,0,0
hermano,1,0,3,0,0
YouShallKnow,1,0,1,7,1
coaxsist,1,0,3,2,10
sargentolago,0,0,12,0,0
majasue,1,0,1,0,0
surakacelik,3,0,0,3,6
acordeon,1,0,2,0,1
ingelise,8,0,23,0,39
mickstravellin,2,0,1,1,23
gasomat,2,0,2,1,1
phagan,1,0,2,0,2
face4radio,0,0,2,0,0
polako,3,0,6,0,5
27b,21,0,131,6,3
clairebear,1,0,1,0,0
funkymonkeyfoz,1,0,0,0,2
erul,1,0,6,1,9
gocanny,1,0,2,1,1
kodeki,1,0,0,1,2
beatjunkies88,3,0,9,1,5
victhesax,1,0,0,0,1
MtotheD,1,0,2,0,3
MtotheC,1,0,0,5,6
MtotheL,1,0,2,2,5
sofabox,1,0,2,0,1
rocknrollchris,3,0,0,2,17
rrrrt,7,0,8,0,9
huborge,2,0,2,1,4
dns,13,0,28,16,15
nicolasduthu,5,0,14,0,4
5000records,12,0,16,1,4
cleer,4,0,14,0,1
goca,1,0,0,0,0
the_joint,63,0,28,6,0
kannakettle,1,0,0,1,1
LG,1,0,9,1,3
goodeveningbitches,3,0,1,0,3
Daddychris,0,0,5,0,1
krain,1,0,0,0,0
philcrater,1,0,0,0,1
caldo,7,0,15,3,28
meanmistermustard,1,0,3,0,0
tlandru,1,0,1,0,2
taktgefuhl,1,0,0,0,0
wanying,2,0,12,0,1
mamitakapulita,0,0,4,2,3
HiP,1,0,24,0,0
alcattell,24,0,34,4,156
shaolinscrather,1,0,0,1,2
dannydeemusic,1,0,2,0,0
chaem_obhujachus,22,0,20,8,32
cipe,1,0,0,0,2
freeza,1,0,1,7,19
truants,548,0,243,2,11
ztaylee,10,0,11,15,77
sm1350,2,0,4,2,0
PerryChicago,0,0,15,0,0
akaian,6,0,1,3,3
ohhenry,2,0,0,0,0
