username;ref_as_follower;ref_as_following;ref_as_faved
neuroticnate;45;50;6
ONEMAN;39;864;216
Peezy_World;3;3;2
bleep;0;134;57
propersongs;21;124;39
deisekid;4;6;0
ElectrogeneB;436;133;1
Teir;6;12;1
dsoundzmedia;0;7;0
JimPanzer;32;53;4
POPCOX;5;4;0
djneilcapper_waxeduphousemusic;151;93;1
thesixties;5;9;2
takafumi0208;4;0;0
tellmon;6;4;2
BenJam;63;13;0
thefixtape;79;43;9
r5;6;4;0
djmarkellavenson;8;14;2
fiascolondon;0;5;2
thompsonsgarage;0;8;1
mogmachine;0;15;1
tynamite;7;20;0
djphet;1;1;2
czeknology;4;1;0
PunksJumpUp;0;36;9
dirtydisconinja;2;7;2
synflood;8;34;6
marclatilla;20;17;0
groovebugs;50;87;17
Cairogroove;2;1;0
discooutcast;63;92;6
djtros;0;5;0
slpngmchn;10;9;2
513;24;25;4
dreamlogic;4;2;3
paulhazendonk;0;35;2
blugazer;0;2;0
37signals;0;10;0
imhouse;1;5;3
Phattic;15;6;0
Alena_Arpels;97;47;12
misi;2830;480;11
AlexParsons;83;61;0
pn1;1;0;0
nepz;43;46;3
haushaed;2;9;5
mesmer;1;25;4
michaelcolley;3;1;0
tompritchard;260;117;9
manuelmalaspina;0;10;0
benufo;7;471;51
djgani;34;30;0
badpandarecords;21;27;3
THEMJEANS;10;113;31
phatsam303;5;5;1
AnotherAmit;2;65;11
woodhead;1;0;0
djanees;1;4;2
brezza;2;3;1
CouchFire;16;56;1
mixclub;1;1;0
piranhabryanna;14;37;0
mr_g;262;155;14
spoekmathambo;35;54;5
testing99;8;43;1
prototype202;12;3;0
KitchnSync;373;199;5
richiefargas;1;5;0
nomix;11;27;0
djraze;14;15;3
pj4533;9;84;18
herewearedance;7;6;0
themusictank;0;6;2
hongkongpingpong;29;86;32
DjDawizz;0;4;0
gee_low;2;1;1
andres_marcos;1;3;0
nouvolec;4;1;0
thedailystreet;4;41;16
radionula;6;42;9
gubsta;1;0;0
normanhstripped;425;103;3
Dariio;3;0;0
jamie;27;44;5
giocator;5;3;2
Carlitobigante;35;33;1
regrooved;58;152;41
djrafaelbarros;0;4;0
TwoTurntablesAndAGuy;3;4;0
antidote;4;41;5
Shin;1;9;2
misterfluff;9;27;2
EstimuloShow;0;8;3
VesperDJ;40;39;12
djmiss_understood;4;1;0
splattermonkey;27;50;11
LesterG;12;8;0
MattRawson;110;170;6
dmoefunk;18;41;10
OkiZooMhZRebellion;14;10;0
globalibre;707;278;45
jazzelicious;6;18;3
djreeceduncan;0;3;4
djbruce;0;1;2
Friction;23;93;13
FoxyKittensHighFrequency;18;26;0
kludge;3;4;1
ventura;13;29;0
djhombre;3;26;7
DorfpunkxGhettoCrew;1;0;0
flash_jordan;6;29;1
DepressedButtons;6;2;0
jdats;1;1;0
djkress;1;0;0
queen_d;3;3;1
lafu;55;53;5
shiEldsUK;5;11;1
behaviors;481;167;3
filthandsplendour;0;10;1
DJSupertoy;2;0;0
emilioromo;1278;228;0
audiotrucs;1016;158;3
drob;0;1;1
electrodisiac;0;43;5
afghanheadspin;0;10;1
OisinLunny;20;84;33
yoyoyoni;43;37;0
yosaku;1;2;0
jessikazen;0;2;0
minimalgrooves;8;18;1
gogobizkitt;20;43;6
WEAREPROSTITUTES;3;0;0
TheV;0;24;12
soulmindnb;481;101;2
theoslo;75;65;13
jonknox;6;0;0
10DIGI_I;0;0;1
tunemule;103;30;5
jeffvalle;0;1;0
lubacov;2;11;1
S_RAD;3;1;0
DJKILLERTOMATO;551;272;50
djmahit;2;6;0
barvzdarkly;208;144;35
DJBrice;5;4;0
lefreakselector;384;184;9
djbricksta;0;3;0
glittertunes;3;5;2
adambailey;0;1;0
fanfarefurore;8;11;3
pwikmasta;28;20;0
JazZstepPa;2;74;9
phi0;1;2;0
tknq;17;7;3
solarphoenix;3;8;1
djrichbaird;0;4;3
Nigel_Christie;1079;224;4
djblue;82;91;71
ntchbl;34;59;12
tosses;335;99;22
maswibilili;0;1;0
720Bass;1;44;8
olli_w;1;1;0
ruffm;0;17;7
machparat;1;0;0
FACTMixArchive;0;464;159
c60crew;10;56;25
LukeFDM;5;25;2
francescopico;21;18;1
jayfusion;0;1;0
tilt;4;6;0
bitsmissing;6;57;9
alistairr;9;4;0
Bennyervine;870;266;33
SP_Labs;2;11;2
